"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	"Female"	"F"	"2017"	"2017"	29063	1705712	1703.9
	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	"Female"	"F"	"2018"	"2018"	29576	1781893	1659.8
	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	"Female"	"F"	"2019"	"2019"	30737	1868555	1645.0
	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	"Male"	"M"	"2017"	"2017"	36048	1458757	2471.1
	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	"Male"	"M"	"2018"	"2018"	36902	1524343	2420.8
	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	"Male"	"M"	"2019"	"2019"	38263	1596539	2396.6
	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	"Female"	"F"	"2017"	"2017"	33097	1167398	2835.1
	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	"Female"	"F"	"2018"	"2018"	35013	1249328	2802.5
	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	"Female"	"F"	"2019"	"2019"	36131	1311498	2754.9
	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	"Male"	"M"	"2017"	"2017"	37503	935568	4008.6
	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	"Male"	"M"	"2018"	"2018"	39586	1005265	3937.9
	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	"Male"	"M"	"2019"	"2019"	40582	1053436	3852.3
	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	"Female"	"F"	"2017"	"2017"	41544	825179	5034.5
	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	"Female"	"F"	"2018"	"2018"	41937	847630	4947.6
	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	"Female"	"F"	"2019"	"2019"	42803	877188	4879.6
	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	"Male"	"M"	"2017"	"2017"	40160	593564	6765.9
	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	"Male"	"M"	"2018"	"2018"	40722	614916	6622.4
	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	"Male"	"M"	"2019"	"2019"	41627	639403	6510.3
	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	"Female"	"F"	"2017"	"2017"	52785	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	"Female"	"F"	"2018"	"2018"	52453	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	"Female"	"F"	"2019"	"2019"	51058	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	"Male"	"M"	"2017"	"2017"	41455	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	"Male"	"M"	"2018"	"2018"	41456	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	"Male"	"M"	"2019"	"2019"	41266	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	"Female"	"F"	"2017"	"2017"	49989	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	"Female"	"F"	"2018"	"2018"	50468	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	"Female"	"F"	"2019"	"2019"	49728	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	"Male"	"M"	"2017"	"2017"	28742	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	"Male"	"M"	"2018"	"2018"	29454	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	"Male"	"M"	"2019"	"2019"	29826	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	"Female"	"F"	"2017"	"2017"	24951	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	"Female"	"F"	"2018"	"2018"	26063	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	"Female"	"F"	"2019"	"2019"	26158	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	"Male"	"M"	"2017"	"2017"	9950	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	"Male"	"M"	"2018"	"2018"	10297	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	"Male"	"M"	"2019"	"2019"	10862	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"100+ years"	"100+"	"Female"	"F"	"2017"	"2017"	5877	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"100+ years"	"100+"	"Female"	"F"	"2018"	"2018"	5881	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"100+ years"	"100+"	"Female"	"F"	"2019"	"2019"	6167	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"100+ years"	"100+"	"Male"	"M"	"2017"	"2017"	1328	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"100+ years"	"100+"	"Male"	"M"	"2018"	"2018"	1399	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"100+ years"	"100+"	"Male"	"M"	"2019"	"2019"	1392	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Not Stated"	"NS"	"Female"	"F"	"2017"	"2017"	12	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Not Stated"	"NS"	"Female"	"F"	"2018"	"2018"	16	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Not Stated"	"NS"	"Female"	"F"	"2019"	"2019"	19	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Not Stated"	"NS"	"Male"	"M"	"2017"	"2017"	32	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Not Stated"	"NS"	"Male"	"M"	"2018"	"2018"	62	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Not Stated"	"NS"	"Male"	"M"	"2019"	"2019"	43	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	2202	402858	546.6
	"Medium Metro"	"3"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	2115	392809	538.4
	"Medium Metro"	"3"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	2016	386418	521.7
	"Medium Metro"	"3"	"< 1 year"	"1"	"Male"	"M"	"2017"	"2017"	2752	422108	652.0
	"Medium Metro"	"3"	"< 1 year"	"1"	"Male"	"M"	"2018"	"2018"	2633	411663	639.6
	"Medium Metro"	"3"	"< 1 year"	"1"	"Male"	"M"	"2019"	"2019"	2649	404810	654.4
	"Medium Metro"	"3"	"1-4 years"	"1-4"	"Female"	"F"	"2017"	"2017"	364	1648940	22.1
	"Medium Metro"	"3"	"1-4 years"	"1-4"	"Female"	"F"	"2018"	"2018"	344	1642189	20.9
	"Medium Metro"	"3"	"1-4 years"	"1-4"	"Female"	"F"	"2019"	"2019"	352	1626825	21.6
	"Medium Metro"	"3"	"1-4 years"	"1-4"	"Male"	"M"	"2017"	"2017"	486	1728766	28.1
	"Medium Metro"	"3"	"1-4 years"	"1-4"	"Male"	"M"	"2018"	"2018"	492	1722245	28.6
	"Medium Metro"	"3"	"1-4 years"	"1-4"	"Male"	"M"	"2019"	"2019"	447	1702382	26.3
	"Medium Metro"	"3"	"5-9 years"	"5-9"	"Female"	"F"	"2017"	"2017"	223	2108343	10.6
	"Medium Metro"	"3"	"5-9 years"	"5-9"	"Female"	"F"	"2018"	"2018"	213	2098799	10.1
	"Medium Metro"	"3"	"5-9 years"	"5-9"	"Female"	"F"	"2019"	"2019"	237	2099792	11.3
	"Medium Metro"	"3"	"5-9 years"	"5-9"	"Male"	"M"	"2017"	"2017"	291	2199853	13.2
	"Medium Metro"	"3"	"5-9 years"	"5-9"	"Male"	"M"	"2018"	"2018"	260	2191922	11.9
	"Medium Metro"	"3"	"5-9 years"	"5-9"	"Male"	"M"	"2019"	"2019"	278	2197842	12.6
	"Medium Metro"	"3"	"10-14 years"	"10-14"	"Female"	"F"	"2017"	"2017"	261	2151671	12.1
	"Medium Metro"	"3"	"10-14 years"	"10-14"	"Female"	"F"	"2018"	"2018"	291	2167476	13.4
	"Medium Metro"	"3"	"10-14 years"	"10-14"	"Female"	"F"	"2019"	"2019"	283	2164549	13.1
	"Medium Metro"	"3"	"10-14 years"	"10-14"	"Male"	"M"	"2017"	"2017"	466	2247948	20.7
	"Medium Metro"	"3"	"10-14 years"	"10-14"	"Male"	"M"	"2018"	"2018"	409	2263789	18.1
	"Medium Metro"	"3"	"10-14 years"	"10-14"	"Male"	"M"	"2019"	"2019"	415	2259587	18.4
	"Medium Metro"	"3"	"15-19 years"	"15-19"	"Female"	"F"	"2017"	"2017"	668	2243036	29.8
	"Medium Metro"	"3"	"15-19 years"	"15-19"	"Female"	"F"	"2018"	"2018"	679	2247367	30.2
	"Medium Metro"	"3"	"15-19 years"	"15-19"	"Female"	"F"	"2019"	"2019"	597	2246641	26.6
	"Medium Metro"	"3"	"15-19 years"	"15-19"	"Male"	"M"	"2017"	"2017"	1678	2329008	72.0
	"Medium Metro"	"3"	"15-19 years"	"15-19"	"Male"	"M"	"2018"	"2018"	1668	2330998	71.6
	"Medium Metro"	"3"	"15-19 years"	"15-19"	"Male"	"M"	"2019"	"2019"	1643	2328072	70.6
	"Medium Metro"	"3"	"20-24 years"	"20-24"	"Female"	"F"	"2017"	"2017"	1239	2394327	51.7
	"Medium Metro"	"3"	"20-24 years"	"20-24"	"Female"	"F"	"2018"	"2018"	1114	2381356	46.8
	"Medium Metro"	"3"	"20-24 years"	"20-24"	"Female"	"F"	"2019"	"2019"	1114	2366113	47.1
	"Medium Metro"	"3"	"20-24 years"	"20-24"	"Male"	"M"	"2017"	"2017"	3483	2529627	137.7
	"Medium Metro"	"3"	"20-24 years"	"20-24"	"Male"	"M"	"2018"	"2018"	3193	2503447	127.5
	"Medium Metro"	"3"	"20-24 years"	"20-24"	"Male"	"M"	"2019"	"2019"	3110	2480390	125.4
	"Medium Metro"	"3"	"25-29 years"	"25-29"	"Female"	"F"	"2017"	"2017"	1795	2337862	76.8
	"Medium Metro"	"3"	"25-29 years"	"25-29"	"Female"	"F"	"2018"	"2018"	1777	2360396	75.3
	"Medium Metro"	"3"	"25-29 years"	"25-29"	"Female"	"F"	"2019"	"2019"	1720	2360679	72.9
	"Medium Metro"	"3"	"25-29 years"	"25-29"	"Male"	"M"	"2017"	"2017"	4306	2437936	176.6
	"Medium Metro"	"3"	"25-29 years"	"25-29"	"Male"	"M"	"2018"	"2018"	4304	2470909	174.2
	"Medium Metro"	"3"	"25-29 years"	"25-29"	"Male"	"M"	"2019"	"2019"	4240	2478112	171.1
	"Medium Metro"	"3"	"30-34 years"	"30-34"	"Female"	"F"	"2017"	"2017"	2326	2179211	106.7
	"Medium Metro"	"3"	"30-34 years"	"30-34"	"Female"	"F"	"2018"	"2018"	2360	2193018	107.6
	"Medium Metro"	"3"	"30-34 years"	"30-34"	"Female"	"F"	"2019"	"2019"	2360	2224750	106.1
	"Medium Metro"	"3"	"30-34 years"	"30-34"	"Male"	"M"	"2017"	"2017"	4813	2214025	217.4
	"Medium Metro"	"3"	"30-34 years"	"30-34"	"Male"	"M"	"2018"	"2018"	4720	2233678	211.3
	"Medium Metro"	"3"	"30-34 years"	"30-34"	"Male"	"M"	"2019"	"2019"	4837	2266652	213.4
	"Medium Metro"	"3"	"35-39 years"	"35-39"	"Female"	"F"	"2017"	"2017"	2819	2137485	131.9
	"Medium Metro"	"3"	"35-39 years"	"35-39"	"Female"	"F"	"2018"	"2018"	2933	2174197	134.9
	"Medium Metro"	"3"	"35-39 years"	"35-39"	"Female"	"F"	"2019"	"2019"	2966	2195374	135.1
	"Medium Metro"	"3"	"35-39 years"	"35-39"	"Male"	"M"	"2017"	"2017"	5320	2128214	250.0
	"Medium Metro"	"3"	"35-39 years"	"35-39"	"Male"	"M"	"2018"	"2018"	5383	2167923	248.3
	"Medium Metro"	"3"	"35-39 years"	"35-39"	"Male"	"M"	"2019"	"2019"	5526	2191714	252.1
	"Medium Metro"	"3"	"40-44 years"	"40-44"	"Female"	"F"	"2017"	"2017"	3614	1981705	182.4
	"Medium Metro"	"3"	"40-44 years"	"40-44"	"Female"	"F"	"2018"	"2018"	3506	1994084	175.8
	"Medium Metro"	"3"	"40-44 years"	"40-44"	"Female"	"F"	"2019"	"2019"	3411	2021581	168.7
	"Medium Metro"	"3"	"40-44 years"	"40-44"	"Male"	"M"	"2017"	"2017"	5848	1942680	301.0
	"Medium Metro"	"3"	"40-44 years"	"40-44"	"Male"	"M"	"2018"	"2018"	5853	1959104	298.8
	"Medium Metro"	"3"	"40-44 years"	"40-44"	"Male"	"M"	"2019"	"2019"	6056	1989001	304.5
	"Medium Metro"	"3"	"45-49 years"	"45-49"	"Female"	"F"	"2017"	"2017"	5560	2131104	260.9
	"Medium Metro"	"3"	"45-49 years"	"45-49"	"Female"	"F"	"2018"	"2018"	5482	2116971	259.0
	"Medium Metro"	"3"	"45-49 years"	"45-49"	"Female"	"F"	"2019"	"2019"	5430	2084368	260.5
	"Medium Metro"	"3"	"45-49 years"	"45-49"	"Male"	"M"	"2017"	"2017"	8684	2077609	418.0
	"Medium Metro"	"3"	"45-49 years"	"45-49"	"Male"	"M"	"2018"	"2018"	8827	2057801	429.0
	"Medium Metro"	"3"	"45-49 years"	"45-49"	"Male"	"M"	"2019"	"2019"	8620	2025123	425.7
	"Medium Metro"	"3"	"50-54 years"	"50-54"	"Female"	"F"	"2017"	"2017"	9041	2212682	408.6
	"Medium Metro"	"3"	"50-54 years"	"50-54"	"Female"	"F"	"2018"	"2018"	8598	2157458	398.5
	"Medium Metro"	"3"	"50-54 years"	"50-54"	"Female"	"F"	"2019"	"2019"	8152	2113838	385.6
	"Medium Metro"	"3"	"50-54 years"	"50-54"	"Male"	"M"	"2017"	"2017"	13790	2116614	651.5
	"Medium Metro"	"3"	"50-54 years"	"50-54"	"Male"	"M"	"2018"	"2018"	12962	2068063	626.8
	"Medium Metro"	"3"	"50-54 years"	"50-54"	"Male"	"M"	"2019"	"2019"	12987	2031522	639.3
	"Medium Metro"	"3"	"55-59 years"	"55-59"	"Female"	"F"	"2017"	"2017"	14008	2345319	597.3
	"Medium Metro"	"3"	"55-59 years"	"55-59"	"Female"	"F"	"2018"	"2018"	13686	2339616	585.0
	"Medium Metro"	"3"	"55-59 years"	"55-59"	"Female"	"F"	"2019"	"2019"	13574	2333761	581.6
	"Medium Metro"	"3"	"55-59 years"	"55-59"	"Male"	"M"	"2017"	"2017"	21504	2192646	980.7
	"Medium Metro"	"3"	"55-59 years"	"55-59"	"Male"	"M"	"2018"	"2018"	21330	2185442	976.0
	"Medium Metro"	"3"	"55-59 years"	"55-59"	"Male"	"M"	"2019"	"2019"	21389	2177603	982.2
	"Medium Metro"	"3"	"60-64 years "	"60-64"	"Female"	"F"	"2017"	"2017"	18160	2205718	823.3
	"Medium Metro"	"3"	"60-64 years "	"60-64"	"Female"	"F"	"2018"	"2018"	18531	2242526	826.3
	"Medium Metro"	"3"	"60-64 years "	"60-64"	"Female"	"F"	"2019"	"2019"	18914	2266985	834.3
	"Medium Metro"	"3"	"60-64 years "	"60-64"	"Male"	"M"	"2017"	"2017"	27807	1998799	1391.2
	"Medium Metro"	"3"	"60-64 years "	"60-64"	"Male"	"M"	"2018"	"2018"	28622	2032984	1407.9
	"Medium Metro"	"3"	"60-64 years "	"60-64"	"Male"	"M"	"2019"	"2019"	28748	2059344	1396.0
	"Medium Metro"	"3"	"65-69 years"	"65-69"	"Female"	"F"	"2017"	"2017"	22631	1920004	1178.7
	"Medium Metro"	"3"	"65-69 years"	"65-69"	"Female"	"F"	"2018"	"2018"	22694	1954410	1161.2
	"Medium Metro"	"3"	"65-69 years"	"65-69"	"Female"	"F"	"2019"	"2019"	22525	2001233	1125.6
	"Medium Metro"	"3"	"65-69 years"	"65-69"	"Male"	"M"	"2017"	"2017"	32076	1706576	1879.6
	"Medium Metro"	"3"	"65-69 years"	"65-69"	"Male"	"M"	"2018"	"2018"	32560	1730136	1881.9
	"Medium Metro"	"3"	"65-69 years"	"65-69"	"Male"	"M"	"2019"	"2019"	33354	1763649	1891.2
	"Medium Metro"	"3"	"70-74 years"	"70-74"	"Female"	"F"	"2017"	"2017"	27404	1500091	1826.8
	"Medium Metro"	"3"	"70-74 years"	"70-74"	"Female"	"F"	"2018"	"2018"	28317	1569689	1804.0
	"Medium Metro"	"3"	"70-74 years"	"70-74"	"Female"	"F"	"2019"	"2019"	28892	1647614	1753.6
	"Medium Metro"	"3"	"70-74 years"	"70-74"	"Male"	"M"	"2017"	"2017"	34930	1308033	2670.4
	"Medium Metro"	"3"	"70-74 years"	"70-74"	"Male"	"M"	"2018"	"2018"	36329	1368943	2653.8
	"Medium Metro"	"3"	"70-74 years"	"70-74"	"Male"	"M"	"2019"	"2019"	37247	1435199	2595.2
	"Medium Metro"	"3"	"75-79 years"	"75-79"	"Female"	"F"	"2017"	"2017"	31512	1044138	3018.0
	"Medium Metro"	"3"	"75-79 years"	"75-79"	"Female"	"F"	"2018"	"2018"	32405	1111536	2915.3
	"Medium Metro"	"3"	"75-79 years"	"75-79"	"Female"	"F"	"2019"	"2019"	33619	1162513	2891.9
	"Medium Metro"	"3"	"75-79 years"	"75-79"	"Male"	"M"	"2017"	"2017"	35469	851250	4166.7
	"Medium Metro"	"3"	"75-79 years"	"75-79"	"Male"	"M"	"2018"	"2018"	37706	911560	4136.4
	"Medium Metro"	"3"	"75-79 years"	"75-79"	"Male"	"M"	"2019"	"2019"	38869	955082	4069.7
	"Medium Metro"	"3"	"80-84 years"	"80-84"	"Female"	"F"	"2017"	"2017"	38540	744401	5177.3
	"Medium Metro"	"3"	"80-84 years"	"80-84"	"Female"	"F"	"2018"	"2018"	38906	763255	5097.4
	"Medium Metro"	"3"	"80-84 years"	"80-84"	"Female"	"F"	"2019"	"2019"	39347	784780	5013.8
	"Medium Metro"	"3"	"80-84 years"	"80-84"	"Male"	"M"	"2017"	"2017"	37683	548525	6869.9
	"Medium Metro"	"3"	"80-84 years"	"80-84"	"Male"	"M"	"2018"	"2018"	38078	566879	6717.1
	"Medium Metro"	"3"	"80-84 years"	"80-84"	"Male"	"M"	"2019"	"2019"	38949	586627	6639.5
	"Medium Metro"	"3"	"85-89 years"	"85-89"	"Female"	"F"	"2017"	"2017"	47533	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"85-89 years"	"85-89"	"Female"	"F"	"2018"	"2018"	46633	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"85-89 years"	"85-89"	"Female"	"F"	"2019"	"2019"	45734	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"85-89 years"	"85-89"	"Male"	"M"	"2017"	"2017"	37670	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"85-89 years"	"85-89"	"Male"	"M"	"2018"	"2018"	37649	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"85-89 years"	"85-89"	"Male"	"M"	"2019"	"2019"	37394	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"90-94 years"	"90-94"	"Female"	"F"	"2017"	"2017"	43952	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"90-94 years"	"90-94"	"Female"	"F"	"2018"	"2018"	43628	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"90-94 years"	"90-94"	"Female"	"F"	"2019"	"2019"	43161	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"90-94 years"	"90-94"	"Male"	"M"	"2017"	"2017"	25667	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"90-94 years"	"90-94"	"Male"	"M"	"2018"	"2018"	26009	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"90-94 years"	"90-94"	"Male"	"M"	"2019"	"2019"	26202	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"95-99 years"	"95-99"	"Female"	"F"	"2017"	"2017"	21482	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"95-99 years"	"95-99"	"Female"	"F"	"2018"	"2018"	21991	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"95-99 years"	"95-99"	"Female"	"F"	"2019"	"2019"	22451	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"95-99 years"	"95-99"	"Male"	"M"	"2017"	"2017"	8637	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"95-99 years"	"95-99"	"Male"	"M"	"2018"	"2018"	9025	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"95-99 years"	"95-99"	"Male"	"M"	"2019"	"2019"	9431	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"100+ years"	"100+"	"Female"	"F"	"2017"	"2017"	4878	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"100+ years"	"100+"	"Female"	"F"	"2018"	"2018"	5289	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"100+ years"	"100+"	"Female"	"F"	"2019"	"2019"	5059	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"100+ years"	"100+"	"Male"	"M"	"2017"	"2017"	1139	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"100+ years"	"100+"	"Male"	"M"	"2018"	"2018"	1172	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"100+ years"	"100+"	"Male"	"M"	"2019"	"2019"	1289	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Not Stated"	"NS"	"Female"	"F"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Not Stated"	"NS"	"Female"	"F"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Not Stated"	"NS"	"Female"	"F"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Not Stated"	"NS"	"Male"	"M"	"2017"	"2017"	11	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Not Stated"	"NS"	"Male"	"M"	"2018"	"2018"	10	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"Not Stated"	"NS"	"Male"	"M"	"2019"	"2019"	12	Not Applicable	Not Applicable
	"Small Metro"	"4"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	900	171663	524.3
	"Small Metro"	"4"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	879	167177	525.8
	"Small Metro"	"4"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	876	164847	531.4
	"Small Metro"	"4"	"< 1 year"	"1"	"Male"	"M"	"2017"	"2017"	1236	179865	687.2
	"Small Metro"	"4"	"< 1 year"	"1"	"Male"	"M"	"2018"	"2018"	1229	175133	701.8
	"Small Metro"	"4"	"< 1 year"	"1"	"Male"	"M"	"2019"	"2019"	1162	172694	672.9
	"Small Metro"	"4"	"1-4 years"	"1-4"	"Female"	"F"	"2017"	"2017"	161	698315	23.1
	"Small Metro"	"4"	"1-4 years"	"1-4"	"Female"	"F"	"2018"	"2018"	141	697437	20.2
	"Small Metro"	"4"	"1-4 years"	"1-4"	"Female"	"F"	"2019"	"2019"	169	689482	24.5
	"Small Metro"	"4"	"1-4 years"	"1-4"	"Male"	"M"	"2017"	"2017"	234	731449	32.0
	"Small Metro"	"4"	"1-4 years"	"1-4"	"Male"	"M"	"2018"	"2018"	222	730950	30.4
	"Small Metro"	"4"	"1-4 years"	"1-4"	"Male"	"M"	"2019"	"2019"	218	722679	30.2
	"Small Metro"	"4"	"5-9 years"	"5-9"	"Female"	"F"	"2017"	"2017"	105	883756	11.9
	"Small Metro"	"4"	"5-9 years"	"5-9"	"Female"	"F"	"2018"	"2018"	115	879912	13.1
	"Small Metro"	"4"	"5-9 years"	"5-9"	"Female"	"F"	"2019"	"2019"	101	879473	11.5
	"Small Metro"	"4"	"5-9 years"	"5-9"	"Male"	"M"	"2017"	"2017"	127	924271	13.7
	"Small Metro"	"4"	"5-9 years"	"5-9"	"Male"	"M"	"2018"	"2018"	141	920286	15.3
	"Small Metro"	"4"	"5-9 years"	"5-9"	"Male"	"M"	"2019"	"2019"	141	921572	15.3
	"Small Metro"	"4"	"10-14 years"	"10-14"	"Female"	"F"	"2017"	"2017"	127	897403	14.2
	"Small Metro"	"4"	"10-14 years"	"10-14"	"Female"	"F"	"2018"	"2018"	137	905230	15.1
	"Small Metro"	"4"	"10-14 years"	"10-14"	"Female"	"F"	"2019"	"2019"	137	903096	15.2
	"Small Metro"	"4"	"10-14 years"	"10-14"	"Male"	"M"	"2017"	"2017"	199	936229	21.3
	"Small Metro"	"4"	"10-14 years"	"10-14"	"Male"	"M"	"2018"	"2018"	162	944973	17.1
	"Small Metro"	"4"	"10-14 years"	"10-14"	"Male"	"M"	"2019"	"2019"	203	943444	21.5
	"Small Metro"	"4"	"15-19 years"	"15-19"	"Female"	"F"	"2017"	"2017"	312	983066	31.7
	"Small Metro"	"4"	"15-19 years"	"15-19"	"Female"	"F"	"2018"	"2018"	319	984663	32.4
	"Small Metro"	"4"	"15-19 years"	"15-19"	"Female"	"F"	"2019"	"2019"	330	982216	33.6
	"Small Metro"	"4"	"15-19 years"	"15-19"	"Male"	"M"	"2017"	"2017"	743	1024910	72.5
	"Small Metro"	"4"	"15-19 years"	"15-19"	"Male"	"M"	"2018"	"2018"	722	1023625	70.5
	"Small Metro"	"4"	"15-19 years"	"15-19"	"Male"	"M"	"2019"	"2019"	678	1019563	66.5
	"Small Metro"	"4"	"20-24 years"	"20-24"	"Female"	"F"	"2017"	"2017"	565	1125349	50.2
	"Small Metro"	"4"	"20-24 years"	"20-24"	"Female"	"F"	"2018"	"2018"	518	1118139	46.3
	"Small Metro"	"4"	"20-24 years"	"20-24"	"Female"	"F"	"2019"	"2019"	497	1105955	44.9
	"Small Metro"	"4"	"20-24 years"	"20-24"	"Male"	"M"	"2017"	"2017"	1451	1230570	117.9
	"Small Metro"	"4"	"20-24 years"	"20-24"	"Male"	"M"	"2018"	"2018"	1407	1217124	115.6
	"Small Metro"	"4"	"20-24 years"	"20-24"	"Male"	"M"	"2019"	"2019"	1399	1200179	116.6
	"Small Metro"	"4"	"25-29 years"	"25-29"	"Female"	"F"	"2017"	"2017"	777	984746	78.9
	"Small Metro"	"4"	"25-29 years"	"25-29"	"Female"	"F"	"2018"	"2018"	729	991306	73.5
	"Small Metro"	"4"	"25-29 years"	"25-29"	"Female"	"F"	"2019"	"2019"	681	984541	69.2
	"Small Metro"	"4"	"25-29 years"	"25-29"	"Male"	"M"	"2017"	"2017"	1802	1057301	170.4
	"Small Metro"	"4"	"25-29 years"	"25-29"	"Male"	"M"	"2018"	"2018"	1837	1066439	172.3
	"Small Metro"	"4"	"25-29 years"	"25-29"	"Male"	"M"	"2019"	"2019"	1740	1059991	164.2
	"Small Metro"	"4"	"30-34 years"	"30-34"	"Female"	"F"	"2017"	"2017"	1025	898889	114.0
	"Small Metro"	"4"	"30-34 years"	"30-34"	"Female"	"F"	"2018"	"2018"	993	903087	110.0
	"Small Metro"	"4"	"30-34 years"	"30-34"	"Female"	"F"	"2019"	"2019"	983	912487	107.7
	"Small Metro"	"4"	"30-34 years"	"30-34"	"Male"	"M"	"2017"	"2017"	2003	937542	213.6
	"Small Metro"	"4"	"30-34 years"	"30-34"	"Male"	"M"	"2018"	"2018"	2024	944116	214.4
	"Small Metro"	"4"	"30-34 years"	"30-34"	"Male"	"M"	"2019"	"2019"	2053	953296	215.4
