"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Small Metro"	"4"	"5-14 years"	"5-14"	"Male"	"M"	"2019"	"2019"	344	1865016	18.4
	"Small Metro"	"4"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	877	2108415	41.6
	"Small Metro"	"4"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	837	2102802	39.8
	"Small Metro"	"4"	"15-24 years"	"15-24"	"Female"	"F"	"2019"	"2019"	827	2088171	39.6
	"Small Metro"	"4"	"15-24 years"	"15-24"	"Male"	"M"	"2017"	"2017"	2194	2255480	97.3
	"Small Metro"	"4"	"15-24 years"	"15-24"	"Male"	"M"	"2018"	"2018"	2129	2240749	95.0
	"Small Metro"	"4"	"15-24 years"	"15-24"	"Male"	"M"	"2019"	"2019"	2077	2219742	93.6
	"Small Metro"	"4"	"25-34 years"	"25-34"	"Female"	"F"	"2017"	"2017"	1802	1883635	95.7
	"Small Metro"	"4"	"25-34 years"	"25-34"	"Female"	"F"	"2018"	"2018"	1722	1894393	90.9
	"Small Metro"	"4"	"25-34 years"	"25-34"	"Female"	"F"	"2019"	"2019"	1664	1897028	87.7
	"Small Metro"	"4"	"25-34 years"	"25-34"	"Male"	"M"	"2017"	"2017"	3805	1994843	190.7
	"Small Metro"	"4"	"25-34 years"	"25-34"	"Male"	"M"	"2018"	"2018"	3861	2010555	192.0
	"Small Metro"	"4"	"25-34 years"	"25-34"	"Male"	"M"	"2019"	"2019"	3793	2013287	188.4
	"Small Metro"	"4"	"35-44 years"	"35-44"	"Female"	"F"	"2017"	"2017"	2866	1692982	169.3
	"Small Metro"	"4"	"35-44 years"	"35-44"	"Female"	"F"	"2018"	"2018"	2937	1717125	171.0
	"Small Metro"	"4"	"35-44 years"	"35-44"	"Female"	"F"	"2019"	"2019"	3019	1736857	173.8
	"Small Metro"	"4"	"35-44 years"	"35-44"	"Male"	"M"	"2017"	"2017"	4846	1720006	281.7
	"Small Metro"	"4"	"35-44 years"	"35-44"	"Male"	"M"	"2018"	"2018"	4972	1744261	285.0
	"Small Metro"	"4"	"35-44 years"	"35-44"	"Male"	"M"	"2019"	"2019"	5162	1764048	292.6
	"Small Metro"	"4"	"45-54 years"	"45-54"	"Female"	"F"	"2017"	"2017"	6617	1806867	366.2
	"Small Metro"	"4"	"45-54 years"	"45-54"	"Female"	"F"	"2018"	"2018"	6413	1772045	361.9
	"Small Metro"	"4"	"45-54 years"	"45-54"	"Female"	"F"	"2019"	"2019"	6223	1733275	359.0
	"Small Metro"	"4"	"45-54 years"	"45-54"	"Male"	"M"	"2017"	"2017"	10186	1771029	575.1
	"Small Metro"	"4"	"45-54 years"	"45-54"	"Male"	"M"	"2018"	"2018"	9887	1737429	569.1
	"Small Metro"	"4"	"45-54 years"	"45-54"	"Male"	"M"	"2019"	"2019"	9628	1702363	565.6
	"Small Metro"	"4"	"55-64 years"	"55-64"	"Female"	"F"	"2017"	"2017"	15011	2005772	748.4
	"Small Metro"	"4"	"55-64 years"	"55-64"	"Female"	"F"	"2018"	"2018"	15284	2016205	758.1
	"Small Metro"	"4"	"55-64 years"	"55-64"	"Female"	"F"	"2019"	"2019"	15309	2015817	759.4
	"Small Metro"	"4"	"55-64 years"	"55-64"	"Male"	"M"	"2017"	"2017"	22869	1863435	1227.2
	"Small Metro"	"4"	"55-64 years"	"55-64"	"Male"	"M"	"2018"	"2018"	23844	1872018	1273.7
	"Small Metro"	"4"	"55-64 years"	"55-64"	"Male"	"M"	"2019"	"2019"	23485	1872271	1254.4
	"Small Metro"	"4"	"65-74 years"	"65-74"	"Female"	"F"	"2017"	"2017"	24175	1557441	1552.2
	"Small Metro"	"4"	"65-74 years"	"65-74"	"Female"	"F"	"2018"	"2018"	24294	1603819	1514.8
	"Small Metro"	"4"	"65-74 years"	"65-74"	"Female"	"F"	"2019"	"2019"	24869	1656602	1501.2
	"Small Metro"	"4"	"65-74 years"	"65-74"	"Male"	"M"	"2017"	"2017"	32371	1400101	2312.0
	"Small Metro"	"4"	"65-74 years"	"65-74"	"Male"	"M"	"2018"	"2018"	33805	1437580	2351.5
	"Small Metro"	"4"	"65-74 years"	"65-74"	"Male"	"M"	"2019"	"2019"	34255	1481813	2311.7
	"Small Metro"	"4"	"75-84 years"	"75-84"	"Female"	"F"	"2017"	"2017"	34157	834471	4093.3
	"Small Metro"	"4"	"75-84 years"	"75-84"	"Female"	"F"	"2018"	"2018"	34944	871833	4008.1
	"Small Metro"	"4"	"75-84 years"	"75-84"	"Female"	"F"	"2019"	"2019"	35641	901782	3952.3
	"Small Metro"	"4"	"75-84 years"	"75-84"	"Male"	"M"	"2017"	"2017"	36778	668441	5502.1
	"Small Metro"	"4"	"75-84 years"	"75-84"	"Male"	"M"	"2018"	"2018"	37982	703869	5396.2
	"Small Metro"	"4"	"75-84 years"	"75-84"	"Male"	"M"	"2019"	"2019"	38738	728795	5315.3
	"Small Metro"	"4"	"85+ years"	"85+"	"Female"	"F"	"2017"	"2017"	54792	404197	13555.8
	"Small Metro"	"4"	"85+ years"	"85+"	"Female"	"F"	"2018"	"2018"	54802	406898	13468.2
	"Small Metro"	"4"	"85+ years"	"85+"	"Female"	"F"	"2019"	"2019"	53659	407341	13173.0
	"Small Metro"	"4"	"85+ years"	"85+"	"Male"	"M"	"2017"	"2017"	34833	227024	15343.3
	"Small Metro"	"4"	"85+ years"	"85+"	"Male"	"M"	"2018"	"2018"	34842	232202	15005.0
	"Small Metro"	"4"	"85+ years"	"85+"	"Male"	"M"	"2019"	"2019"	35073	237544	14764.8
	"Small Metro"	"4"	"Not Stated"	"NS"	"Female"	"F"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Small Metro"	"4"	"Not Stated"	"NS"	"Female"	"F"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Small Metro"	"4"	"Not Stated"	"NS"	"Female"	"F"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Small Metro"	"4"	"Not Stated"	"NS"	"Male"	"M"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Small Metro"	"4"	"Not Stated"	"NS"	"Male"	"M"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Small Metro"	"4"	"Not Stated"	"NS"	"Male"	"M"	"2019"	"2019"	15	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	883	155181	569.0
	"Micropolitan (Nonmetro)"	"5"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	837	150930	554.6
	"Micropolitan (Nonmetro)"	"5"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	860	148695	578.4
	"Micropolitan (Nonmetro)"	"5"	"< 1 year"	"1"	"Male"	"M"	"2017"	"2017"	1125	162584	692.0
	"Micropolitan (Nonmetro)"	"5"	"< 1 year"	"1"	"Male"	"M"	"2018"	"2018"	1128	158036	713.8
	"Micropolitan (Nonmetro)"	"5"	"< 1 year"	"1"	"Male"	"M"	"2019"	"2019"	1100	155856	705.8
	"Micropolitan (Nonmetro)"	"5"	"1-4 years"	"1-4"	"Female"	"F"	"2017"	"2017"	170	636408	26.7
	"Micropolitan (Nonmetro)"	"5"	"1-4 years"	"1-4"	"Female"	"F"	"2018"	"2018"	156	633989	24.6
	"Micropolitan (Nonmetro)"	"5"	"1-4 years"	"1-4"	"Female"	"F"	"2019"	"2019"	187	627829	29.8
	"Micropolitan (Nonmetro)"	"5"	"1-4 years"	"1-4"	"Male"	"M"	"2017"	"2017"	243	665903	36.5
	"Micropolitan (Nonmetro)"	"5"	"1-4 years"	"1-4"	"Male"	"M"	"2018"	"2018"	244	661772	36.9
	"Micropolitan (Nonmetro)"	"5"	"1-4 years"	"1-4"	"Male"	"M"	"2019"	"2019"	218	655266	33.3
	"Micropolitan (Nonmetro)"	"5"	"5-14 years"	"5-14"	"Female"	"F"	"2017"	"2017"	257	1654121	15.5
	"Micropolitan (Nonmetro)"	"5"	"5-14 years"	"5-14"	"Female"	"F"	"2018"	"2018"	213	1650078	12.9
	"Micropolitan (Nonmetro)"	"5"	"5-14 years"	"5-14"	"Female"	"F"	"2019"	"2019"	239	1642944	14.5
	"Micropolitan (Nonmetro)"	"5"	"5-14 years"	"5-14"	"Male"	"M"	"2017"	"2017"	341	1731521	19.7
	"Micropolitan (Nonmetro)"	"5"	"5-14 years"	"5-14"	"Male"	"M"	"2018"	"2018"	333	1728127	19.3
	"Micropolitan (Nonmetro)"	"5"	"5-14 years"	"5-14"	"Male"	"M"	"2019"	"2019"	331	1721398	19.2
	"Micropolitan (Nonmetro)"	"5"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	858	1781709	48.2
	"Micropolitan (Nonmetro)"	"5"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	817	1764849	46.3
	"Micropolitan (Nonmetro)"	"5"	"15-24 years"	"15-24"	"Female"	"F"	"2019"	"2019"	814	1749929	46.5
	"Micropolitan (Nonmetro)"	"5"	"15-24 years"	"15-24"	"Male"	"M"	"2017"	"2017"	2142	1934149	110.7
	"Micropolitan (Nonmetro)"	"5"	"15-24 years"	"15-24"	"Male"	"M"	"2018"	"2018"	2076	1914313	108.4
	"Micropolitan (Nonmetro)"	"5"	"15-24 years"	"15-24"	"Male"	"M"	"2019"	"2019"	2002	1896775	105.5
	"Micropolitan (Nonmetro)"	"5"	"25-34 years"	"25-34"	"Female"	"F"	"2017"	"2017"	1661	1597975	103.9
	"Micropolitan (Nonmetro)"	"5"	"25-34 years"	"25-34"	"Female"	"F"	"2018"	"2018"	1790	1602023	111.7
	"Micropolitan (Nonmetro)"	"5"	"25-34 years"	"25-34"	"Female"	"F"	"2019"	"2019"	1791	1605428	111.6
	"Micropolitan (Nonmetro)"	"5"	"25-34 years"	"25-34"	"Male"	"M"	"2017"	"2017"	3773	1735987	217.3
	"Micropolitan (Nonmetro)"	"5"	"25-34 years"	"25-34"	"Male"	"M"	"2018"	"2018"	3576	1747630	204.6
	"Micropolitan (Nonmetro)"	"5"	"25-34 years"	"25-34"	"Male"	"M"	"2019"	"2019"	3630	1756556	206.7
	"Micropolitan (Nonmetro)"	"5"	"35-44 years"	"35-44"	"Female"	"F"	"2017"	"2017"	2942	1526632	192.7
	"Micropolitan (Nonmetro)"	"5"	"35-44 years"	"35-44"	"Female"	"F"	"2018"	"2018"	2907	1537135	189.1
	"Micropolitan (Nonmetro)"	"5"	"35-44 years"	"35-44"	"Female"	"F"	"2019"	"2019"	2992	1544649	193.7
	"Micropolitan (Nonmetro)"	"5"	"35-44 years"	"35-44"	"Male"	"M"	"2017"	"2017"	5033	1588155	316.9
	"Micropolitan (Nonmetro)"	"5"	"35-44 years"	"35-44"	"Male"	"M"	"2018"	"2018"	4918	1599056	307.6
	"Micropolitan (Nonmetro)"	"5"	"35-44 years"	"35-44"	"Male"	"M"	"2019"	"2019"	5229	1608397	325.1
	"Micropolitan (Nonmetro)"	"5"	"45-54 years"	"45-54"	"Female"	"F"	"2017"	"2017"	6860	1696441	404.4
	"Micropolitan (Nonmetro)"	"5"	"45-54 years"	"45-54"	"Female"	"F"	"2018"	"2018"	6637	1655601	400.9
	"Micropolitan (Nonmetro)"	"5"	"45-54 years"	"45-54"	"Female"	"F"	"2019"	"2019"	6468	1614602	400.6
	"Micropolitan (Nonmetro)"	"5"	"45-54 years"	"45-54"	"Male"	"M"	"2017"	"2017"	10595	1713156	618.4
	"Micropolitan (Nonmetro)"	"5"	"45-54 years"	"45-54"	"Male"	"M"	"2018"	"2018"	10339	1674063	617.6
	"Micropolitan (Nonmetro)"	"5"	"45-54 years"	"45-54"	"Male"	"M"	"2019"	"2019"	9981	1635384	610.3
	"Micropolitan (Nonmetro)"	"5"	"55-64 years"	"55-64"	"Female"	"F"	"2017"	"2017"	15701	1927274	814.7
	"Micropolitan (Nonmetro)"	"5"	"55-64 years"	"55-64"	"Female"	"F"	"2018"	"2018"	15821	1928704	820.3
	"Micropolitan (Nonmetro)"	"5"	"55-64 years"	"55-64"	"Female"	"F"	"2019"	"2019"	16085	1922801	836.5
	"Micropolitan (Nonmetro)"	"5"	"55-64 years"	"55-64"	"Male"	"M"	"2017"	"2017"	24641	1844119	1336.2
	"Micropolitan (Nonmetro)"	"5"	"55-64 years"	"55-64"	"Male"	"M"	"2018"	"2018"	24449	1842818	1326.7
	"Micropolitan (Nonmetro)"	"5"	"55-64 years"	"55-64"	"Male"	"M"	"2019"	"2019"	24858	1836868	1353.3
	"Micropolitan (Nonmetro)"	"5"	"65-74 years"	"65-74"	"Female"	"F"	"2017"	"2017"	25127	1483721	1693.5
	"Micropolitan (Nonmetro)"	"5"	"65-74 years"	"65-74"	"Female"	"F"	"2018"	"2018"	25654	1519387	1688.4
	"Micropolitan (Nonmetro)"	"5"	"65-74 years"	"65-74"	"Female"	"F"	"2019"	"2019"	26126	1563295	1671.2
	"Micropolitan (Nonmetro)"	"5"	"65-74 years"	"65-74"	"Male"	"M"	"2017"	"2017"	34229	1370578	2497.4
	"Micropolitan (Nonmetro)"	"5"	"65-74 years"	"65-74"	"Male"	"M"	"2018"	"2018"	35363	1402254	2521.9
	"Micropolitan (Nonmetro)"	"5"	"65-74 years"	"65-74"	"Male"	"M"	"2019"	"2019"	36052	1440642	2502.5
	"Micropolitan (Nonmetro)"	"5"	"75-84 years"	"75-84"	"Female"	"F"	"2017"	"2017"	34675	802575	4320.5
	"Micropolitan (Nonmetro)"	"5"	"75-84 years"	"75-84"	"Female"	"F"	"2018"	"2018"	35271	832829	4235.1
	"Micropolitan (Nonmetro)"	"5"	"75-84 years"	"75-84"	"Female"	"F"	"2019"	"2019"	35984	855864	4204.4
	"Micropolitan (Nonmetro)"	"5"	"75-84 years"	"75-84"	"Male"	"M"	"2017"	"2017"	37959	647380	5863.5
	"Micropolitan (Nonmetro)"	"5"	"75-84 years"	"75-84"	"Male"	"M"	"2018"	"2018"	39077	677948	5764.0
	"Micropolitan (Nonmetro)"	"5"	"75-84 years"	"75-84"	"Male"	"M"	"2019"	"2019"	40024	699215	5724.1
	"Micropolitan (Nonmetro)"	"5"	"85+ years"	"85+"	"Female"	"F"	"2017"	"2017"	54577	392683	13898.5
	"Micropolitan (Nonmetro)"	"5"	"85+ years"	"85+"	"Female"	"F"	"2018"	"2018"	54034	393301	13738.6
	"Micropolitan (Nonmetro)"	"5"	"85+ years"	"85+"	"Female"	"F"	"2019"	"2019"	53667	392070	13688.1
	"Micropolitan (Nonmetro)"	"5"	"85+ years"	"85+"	"Male"	"M"	"2017"	"2017"	33717	212593	15859.9
	"Micropolitan (Nonmetro)"	"5"	"85+ years"	"85+"	"Male"	"M"	"2018"	"2018"	34067	215662	15796.5
	"Micropolitan (Nonmetro)"	"5"	"85+ years"	"85+"	"Male"	"M"	"2019"	"2019"	33705	219959	15323.3
	"Micropolitan (Nonmetro)"	"5"	"Not Stated"	"NS"	"Female"	"F"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"Not Stated"	"NS"	"Female"	"F"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"Not Stated"	"NS"	"Female"	"F"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"Not Stated"	"NS"	"Male"	"M"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"Not Stated"	"NS"	"Male"	"M"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Micropolitan (Nonmetro)"	"5"	"Not Stated"	"NS"	"Male"	"M"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"NonCore (Nonmetro)"	"6"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	665	101463	655.4
	"NonCore (Nonmetro)"	"6"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	598	98874	604.8
	"NonCore (Nonmetro)"	"6"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	564	97552	578.2
	"NonCore (Nonmetro)"	"6"	"< 1 year"	"1"	"Male"	"M"	"2017"	"2017"	768	106453	721.4
	"NonCore (Nonmetro)"	"6"	"< 1 year"	"1"	"Male"	"M"	"2018"	"2018"	753	103647	726.5
	"NonCore (Nonmetro)"	"6"	"< 1 year"	"1"	"Male"	"M"	"2019"	"2019"	689	102338	673.3
	"NonCore (Nonmetro)"	"6"	"1-4 years"	"1-4"	"Female"	"F"	"2017"	"2017"	144	422050	34.1
	"NonCore (Nonmetro)"	"6"	"1-4 years"	"1-4"	"Female"	"F"	"2018"	"2018"	127	419850	30.2
	"NonCore (Nonmetro)"	"6"	"1-4 years"	"1-4"	"Female"	"F"	"2019"	"2019"	122	415348	29.4
	"NonCore (Nonmetro)"	"6"	"1-4 years"	"1-4"	"Male"	"M"	"2017"	"2017"	164	442555	37.1
	"NonCore (Nonmetro)"	"6"	"1-4 years"	"1-4"	"Male"	"M"	"2018"	"2018"	187	440927	42.4
	"NonCore (Nonmetro)"	"6"	"1-4 years"	"1-4"	"Male"	"M"	"2019"	"2019"	174	437168	39.8
	"NonCore (Nonmetro)"	"6"	"5-14 years"	"5-14"	"Female"	"F"	"2017"	"2017"	193	1122674	17.2
	"NonCore (Nonmetro)"	"6"	"5-14 years"	"5-14"	"Female"	"F"	"2018"	"2018"	185	1117183	16.6
	"NonCore (Nonmetro)"	"6"	"5-14 years"	"5-14"	"Female"	"F"	"2019"	"2019"	177	1110149	15.9
	"NonCore (Nonmetro)"	"6"	"5-14 years"	"5-14"	"Male"	"M"	"2017"	"2017"	249	1177927	21.1
	"NonCore (Nonmetro)"	"6"	"5-14 years"	"5-14"	"Male"	"M"	"2018"	"2018"	237	1172335	20.2
	"NonCore (Nonmetro)"	"6"	"5-14 years"	"5-14"	"Male"	"M"	"2019"	"2019"	281	1165742	24.1
	"NonCore (Nonmetro)"	"6"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	642	1043970	61.5
	"NonCore (Nonmetro)"	"6"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	586	1031052	56.8
	"NonCore (Nonmetro)"	"6"	"15-24 years"	"15-24"	"Female"	"F"	"2019"	"2019"	658	1018354	64.6
	"NonCore (Nonmetro)"	"6"	"15-24 years"	"15-24"	"Male"	"M"	"2017"	"2017"	1529	1171802	130.5
	"NonCore (Nonmetro)"	"6"	"15-24 years"	"15-24"	"Male"	"M"	"2018"	"2018"	1511	1158096	130.5
	"NonCore (Nonmetro)"	"6"	"15-24 years"	"15-24"	"Male"	"M"	"2019"	"2019"	1468	1143039	128.4
	"NonCore (Nonmetro)"	"6"	"25-34 years"	"25-34"	"Female"	"F"	"2017"	"2017"	1213	999263	121.4
	"NonCore (Nonmetro)"	"6"	"25-34 years"	"25-34"	"Female"	"F"	"2018"	"2018"	1137	1003216	113.3
	"NonCore (Nonmetro)"	"6"	"25-34 years"	"25-34"	"Female"	"F"	"2019"	"2019"	1148	1002530	114.5
	"NonCore (Nonmetro)"	"6"	"25-34 years"	"25-34"	"Male"	"M"	"2017"	"2017"	2681	1119331	239.5
	"NonCore (Nonmetro)"	"6"	"25-34 years"	"25-34"	"Male"	"M"	"2018"	"2018"	2501	1127310	221.9
	"NonCore (Nonmetro)"	"6"	"25-34 years"	"25-34"	"Male"	"M"	"2019"	"2019"	2526	1130935	223.4
	"NonCore (Nonmetro)"	"6"	"35-44 years"	"35-44"	"Female"	"F"	"2017"	"2017"	2104	1012838	207.7
	"NonCore (Nonmetro)"	"6"	"35-44 years"	"35-44"	"Female"	"F"	"2018"	"2018"	2083	1015034	205.2
	"NonCore (Nonmetro)"	"6"	"35-44 years"	"35-44"	"Female"	"F"	"2019"	"2019"	2125	1016728	209.0
	"NonCore (Nonmetro)"	"6"	"35-44 years"	"35-44"	"Male"	"M"	"2017"	"2017"	3519	1081169	325.5
	"NonCore (Nonmetro)"	"6"	"35-44 years"	"35-44"	"Male"	"M"	"2018"	"2018"	3587	1084315	330.8
	"NonCore (Nonmetro)"	"6"	"35-44 years"	"35-44"	"Male"	"M"	"2019"	"2019"	3813	1084852	351.5
	"NonCore (Nonmetro)"	"6"	"45-54 years"	"45-54"	"Female"	"F"	"2017"	"2017"	5195	1180107	440.2
	"NonCore (Nonmetro)"	"6"	"45-54 years"	"45-54"	"Female"	"F"	"2018"	"2018"	5039	1146601	439.5
	"NonCore (Nonmetro)"	"6"	"45-54 years"	"45-54"	"Female"	"F"	"2019"	"2019"	4614	1113043	414.5
	"NonCore (Nonmetro)"	"6"	"45-54 years"	"45-54"	"Male"	"M"	"2017"	"2017"	7814	1212054	644.7
	"NonCore (Nonmetro)"	"6"	"45-54 years"	"45-54"	"Male"	"M"	"2018"	"2018"	7690	1180728	651.3
	"NonCore (Nonmetro)"	"6"	"45-54 years"	"45-54"	"Male"	"M"	"2019"	"2019"	7430	1148003	647.2
	"NonCore (Nonmetro)"	"6"	"55-64 years"	"55-64"	"Female"	"F"	"2017"	"2017"	12127	1409410	860.4
	"NonCore (Nonmetro)"	"6"	"55-64 years"	"55-64"	"Female"	"F"	"2018"	"2018"	11976	1409858	849.4
	"NonCore (Nonmetro)"	"6"	"55-64 years"	"55-64"	"Female"	"F"	"2019"	"2019"	12226	1403157	871.3
	"NonCore (Nonmetro)"	"6"	"55-64 years"	"55-64"	"Male"	"M"	"2017"	"2017"	19139	1384480	1382.4
	"NonCore (Nonmetro)"	"6"	"55-64 years"	"55-64"	"Male"	"M"	"2018"	"2018"	19182	1380297	1389.7
	"NonCore (Nonmetro)"	"6"	"55-64 years"	"55-64"	"Male"	"M"	"2019"	"2019"	19177	1372421	1397.3
	"NonCore (Nonmetro)"	"6"	"65-74 years"	"65-74"	"Female"	"F"	"2017"	"2017"	19268	1126820	1709.9
	"NonCore (Nonmetro)"	"6"	"65-74 years"	"65-74"	"Female"	"F"	"2018"	"2018"	19698	1148209	1715.5
	"NonCore (Nonmetro)"	"6"	"65-74 years"	"65-74"	"Female"	"F"	"2019"	"2019"	19856	1176373	1687.9
	"NonCore (Nonmetro)"	"6"	"65-74 years"	"65-74"	"Male"	"M"	"2017"	"2017"	27916	1078371	2588.7
	"NonCore (Nonmetro)"	"6"	"65-74 years"	"65-74"	"Male"	"M"	"2018"	"2018"	28426	1097697	2589.6
	"NonCore (Nonmetro)"	"6"	"65-74 years"	"65-74"	"Male"	"M"	"2019"	"2019"	29007	1122424	2584.3
	"NonCore (Nonmetro)"	"6"	"75-84 years"	"75-84"	"Female"	"F"	"2017"	"2017"	27305	630784	4328.7
	"NonCore (Nonmetro)"	"6"	"75-84 years"	"75-84"	"Female"	"F"	"2018"	"2018"	27778	651139	4266.1
	"NonCore (Nonmetro)"	"6"	"75-84 years"	"75-84"	"Female"	"F"	"2019"	"2019"	27914	665649	4193.5
	"NonCore (Nonmetro)"	"6"	"75-84 years"	"75-84"	"Male"	"M"	"2017"	"2017"	31392	532577	5894.4
	"NonCore (Nonmetro)"	"6"	"75-84 years"	"75-84"	"Male"	"M"	"2018"	"2018"	31826	554280	5741.9
	"NonCore (Nonmetro)"	"6"	"75-84 years"	"75-84"	"Male"	"M"	"2019"	"2019"	32596	569189	5726.7
	"NonCore (Nonmetro)"	"6"	"85+ years"	"85+"	"Female"	"F"	"2017"	"2017"	40630	298979	13589.6
	"NonCore (Nonmetro)"	"6"	"85+ years"	"85+"	"Female"	"F"	"2018"	"2018"	40322	299375	13468.7
	"NonCore (Nonmetro)"	"6"	"85+ years"	"85+"	"Female"	"F"	"2019"	"2019"	39728	299725	13254.8
	"NonCore (Nonmetro)"	"6"	"85+ years"	"85+"	"Male"	"M"	"2017"	"2017"	25856	166817	15499.6
	"NonCore (Nonmetro)"	"6"	"85+ years"	"85+"	"Male"	"M"	"2018"	"2018"	25799	169696	15203.1
	"NonCore (Nonmetro)"	"6"	"85+ years"	"85+"	"Male"	"M"	"2019"	"2019"	25964	173920	14928.7
	"NonCore (Nonmetro)"	"6"	"Not Stated"	"NS"	"Female"	"F"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"NonCore (Nonmetro)"	"6"	"Not Stated"	"NS"	"Female"	"F"	"2018"	"2018"	0	Not Applicable	Not Applicable
	"NonCore (Nonmetro)"	"6"	"Not Stated"	"NS"	"Female"	"F"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"NonCore (Nonmetro)"	"6"	"Not Stated"	"NS"	"Male"	"M"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"NonCore (Nonmetro)"	"6"	"Not Stated"	"NS"	"Male"	"M"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"NonCore (Nonmetro)"	"6"	"Not Stated"	"NS"	"Male"	"M"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"Year/Month: 2017; 2018; 2019"
"Group By: 2013 Urbanization; Ten-Year Age Groups; Gender; Year"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Sep 5, 2023 12:19:50 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Sep 5, 2023 12:19:50 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"4. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
